iter	Passed	Remaining
437	1296	1663
438	1298	1659
439	1300	1654
440	1301	1650
441	1303	1645
442	1305	1641
443	1307	1637
444	1309	1633
445	1311	1629
446	1315	1626
447	1317	1623
448	1327	1629
449	1330	1626
450	1334	1624
451	1337	1621
452	1345	1624
453	1347	1620
454	1349	1616
455	1352	1613
456	1354	1609
457	1357	1606
458	1359	1602
459	1374	1613
460	1382	1616
461	1385	1613
462	1393	1616
463	1398	1616
464	1401	1612
465	1407	1613
466	1411	1611
467	1414	1607
468	1418	1605
469	1466	1653
470	1476	1658
471	1480	1655
472	1493	1664
473	1496	1660
474	1498	1656
475	1500	1652
476	1503	1648
477	1506	1644
478	1508	1640
479	1510	1635
480	1512	1631
481	1514	1627
482	1517	1624
483	1520	1621
484	1524	1618
485	1526	1614
486	1528	1610
487	1530	1605
488	1535	1604
489	1538	1600
490	1540	1597
491	1542	1592
492	1544	1588
493	1548	1585
494	1550	1581
495	1552	1577
496	1554	1573
497	1558	1571
498	1561	1567
499	1563	1563
500	1565	1559
501	1568	1555
502	1570	1551
503	1574	1549
504	1577	1546
505	1579	1542
506	1582	1538
507	1584	1534
508	1588	1531
509	1590	1528
510	1593	1525
511	1595	1520
512	1597	1516
513	1599	1512
514	1604	1510
515	1607	1508
516	1610	1504
517	1612	1500
518	1614	1496
519	1618	1493
520	1621	1490
521	1624	1487
522	1626	1483
523	1629	1479
524	1632	1476
525	1634	1472
526	1637	1469
527	1639	1465
528	1641	1461
529	1643	1457
530	1645	1453
531	1648	1449
532	1651	1446
533	1653	1442
534	1655	1439
535	1657	1435
536	1659	1431
537	1663	1428
538	1667	1425
539	1668	1421
540	1670	1417
541	1672	1413
542	1674	1409
543	1677	1406
544	1680	1402
545	1682	1399
546	1684	1394
547	1686	1390
548	1687	1386
549	1689	1382
550	1692	1379
551	1695	1376
552	1697	1372
553	1699	1368
554	1701	1364
555	1703	1360
556	1706	1357
557	1709	1354
558	1712	1350
559	1713	1346
560	1715	1342
561	1717	1338
562	1718	1334
563	1722	1331
564	1724	1327
565	1727	1324
566	1729	1320
567	1731	1316
568	1733	1312
569	1736	1310
570	1739	1306
571	1741	1303
572	1743	1299
573	1745	1295
574	1747	1291
575	1750	1288
576	1752	1284
577	1755	1281
578	1757	1278
579	1759	1274
580	1761	1270
581	1763	1266
582	1767	1263
583	1770	1261
584	1772	1257
585	1773	1253
586	1775	1249
587	1777	1245
588	1780	1242
589	1784	1239
590	1786	1236
591	1788	1232
592	1789	1228
593	1791	1224
594	1795	1222
595	1798	1218
596	1800	1215
597	1802	1211
598	1804	1207
599	1806	1204
600	1807	1200
601	1810	1197
602	1812	1193
603	1815	1190
604	1817	1186
605	1819	1182
606	1820	1178
607	1822	1174
608	1825	1172
609	1827	1168
610	1830	1165
611	1832	1161
612	1834	1158
613	1836	1154
614	1838	1150
615	1841	1147
616	1843	1144
617	1846	1141
618	1848	1137
619	1850	1134
620	1853	1131
621	1856	1128
622	1859	1125
623	1862	1122
624	1863	1118
625	1865	1114
626	1867	1110
627	1870	1108
628	1873	1105
629	1876	1102
630	1878	1098
631	1880	1094
632	1882	1091
633	1885	1088
634	1888	1085
635	1890	1082
636	1892	1078
637	1894	1074
638	1895	1071
639	1897	1067
640	1901	1064
641	1903	1061
642	1906	1058
643	1908	1054
644	1909	1051
645	1911	1047
646	1914	1044
647	1916	1041
648	1920	1038
649	1921	1034
650	1923	1031
651	1925	1027
652	1929	1025
653	1932	1022
654	1935	1019
655	1937	1015
656	1938	1012
657	1940	1008
658	1942	1005
659	1945	1002
660	1948	999
661	1950	996
662	1952	992
663	1954	988
664	1955	985
665	1958	982
666	1960	978
667	1963	976
668	1965	972
669	1967	968
670	1968	965
671	1970	961
672	1973	958
673	1975	955
674	1978	952
675	1980	949
676	1982	945
677	1983	942
678	1985	938
679	1988	935
680	1991	932
681	1994	929
682	1995	926
683	1997	922
684	1999	919
685	2001	916
686	2004	913
687	2007	910
688	2009	907
689	2011	903
690	2012	900
691	2014	896
692	2016	893
693	2019	890
694	2021	887
695	2024	884
696	2026	880
697	2027	877
698	2029	873
699	2031	870
700	2033	867
701	2036	864
702	2038	861
703	2040	857
704	2042	854
705	2043	851
706	2045	847
707	2047	844
708	2050	841
709	2052	838
710	2054	835
711	2056	831
712	2058	828
713	2060	825
714	2064	822
715	2067	819
716	2069	816
717	2071	813
718	2073	810
719	2075	807
720	2078	804
721	2080	801
722	2082	797
723	2084	794
724	2086	791
725	2088	788
726	2090	785
727	2094	782
728	2096	779
729	2098	776
730	2100	772
731	2102	769
732	2104	766
733	2106	763
734	2109	760
735	2111	757
736	2113	754
737	2115	751
738	2118	748
739	2120	744
740	2122	741
741	2124	738
742	2127	735
743	2129	732
744	2131	729
745	2133	726
746	2135	723
747	2138	720
748	2140	717
749	2142	714
750	2144	711
751	2146	707
752	2148	704
753	2150	701
754	2153	698
755	2155	695
756	2157	692
757	2159	689
758	2161	686
759	2163	683
760	2165	680
761	2168	677
762	2170	674
763	2173	671
764	2175	668
765	2177	665
766	2179	662
767	2181	659
768	2184	656
769	2186	653
770	2188	650
771	2190	647
772	2192	643
773	2194	640
774	2197	637
775	2199	634
776	2201	631
777	2203	628
778	2205	625
779	2208	622
780	2210	619
781	2212	616
782	2215	613
783	2217	610
784	2219	607
785	2222	605
786	2224	602
787	2227	599
788	2230	596
789	2232	593
790	2234	590
791	2236	587
792	2238	584
793	2241	581
794	2244	578
795	2247	575
796	2249	572
797	2251	570
798	2254	567
799	2256	564
800	2258	561
801	2261	558
802	2263	555
803	2266	552
804	2268	549
805	2270	546
806	2273	543
807	2275	540
808	2277	537
809	2280	534
810	2282	531
811	2284	528
812	2287	526
813	2290	523
814	2292	520
815	2294	517
816	2296	514
817	2298	511
818	2300	508
819	2302	505
820	2305	502
821	2308	499
822	2310	496
823	2312	493
824	2314	490
825	2316	488
826	2320	485
827	2323	482
828	2325	479
829	2327	476
830	2329	473
831	2334	471
832	2337	468
833	2342	466
834	2344	463
835	2348	460
836	2351	457
837	2355	455
838	2357	452
839	2359	449
840	2365	447
841	2368	444
842	2371	441
843	2373	438
844	2375	435
845	2381	433
846	2385	430
847	2387	427
848	2389	424
849	2393	422
850	2396	419
851	2399	416
852	2401	413
853	2402	410
854	2404	407
855	2406	404
856	2410	402
857	2413	399
858	2415	396
859	2416	393
860	2418	390
861	2420	387
862	2423	384
863	2425	381
864	2429	379
865	2430	376
866	2432	373
867	2434	370
868	2436	367
869	2439	364
870	2443	361
871	2445	358
872	2446	355
873	2448	353
874	2450	350
875	2454	347
876	2456	344
877	2459	341
878	2461	338
879	2463	335
880	2465	333
881	2468	330
882	2471	327
883	2474	324
884	2476	321
885	2478	318
886	2480	316
887	2484	313
888	2488	310
889	2490	307
890	2492	304
891	2493	301
892	2495	299
893	2498	296
894	2501	293
895	2504	290
896	2505	287
897	2507	284
898	2509	281
899	2511	279
900	2514	276
901	2516	273
902	2518	270
903	2520	267
904	2522	264
905	2524	261
906	2526	259
907	2529	256
908	2532	253
909	2534	250
910	2536	247
911	2538	244
912	2540	242
913	2542	239
914	2544	236
915	2547	233
916	2549	230
917	2551	227
918	2552	224
919	2554	222
920	2555	219
921	2558	216
922	2560	213
923	2562	210
924	2564	207
925	2566	205
926	2567	202
927	2569	199
928	2571	196
929	2574	193
930	2576	190
931	2578	188
932	2580	185
933	2581	182
934	2583	179
935	2584	176
936	2588	174
937	2590	171
938	2592	168
939	2593	165
940	2595	162
941	2597	159
942	2598	157
943	2601	154
944	2604	151
945	2606	148
946	2608	145
947	2610	143
948	2612	140
949	2614	137
950	2617	134
951	2619	132
952	2621	129
953	2623	126
954	2625	123
955	2627	120
956	2629	118
957	2632	115
958	2634	112
959	2636	109
960	2638	107
961	2640	104
962	2642	101
963	2644	98
964	2647	96
965	2649	93
966	2651	90
967	2653	87
968	2655	84
969	2657	82
970	2659	79
971	2662	76
972	2664	73
973	2666	71
974	2668	68
975	2670	65
976	2672	62
977	2674	60
978	2676	57
979	2679	54
980	2681	51
981	2683	49
982	2685	46
983	2688	43
984	2690	40
985	2693	38
986	2695	35
987	2697	32
988	2700	30
989	2702	27
990	2705	24
991	2708	21
992	2711	19
993	2713	16
994	2715	13
995	2718	10
996	2720	8
997	2723	5
998	2726	2
999	2728	0
